[08-13 14:04:38|job=|INFO|cosmos_framework/utils/generator/parallelism.py:126:_validate] dp_replicate is set to 1.
[08-13 14:04:39|job=|INFO|cosmos_framework/utils/timer.py:138:_log] Time spent on meta to cuda and broadcast model states: 0.24 s
[08-13 14:04:39|job=|INFO|cosmos_framework/utils/timer.py:138:_log] Time spent on Creating PyTorch model and ema if enabled: 0.51 s
[08-13 14:04:39|job=|INFO|cosmos_framework/utils/timer.py:138:_log] Time spent on OmniMoTModel: set_up_model: 0.52 s
[08-13 14:07:53|job=|WARNING|cosmos_framework/scripts/action_policy_server_robolab.py:132:_load_training_config] [robolab-policy-server] could not load training config for transforms: Missing key _type
    full_key: _type
    object_type=dict
[08-13 14:07:53|job=|WARNING|cosmos_framework/scripts/action_policy_server_robolab.py:463:_build_transform] [robolab-policy-server] no training action dataset config found; using default ActionTransformPipeline (format_prompt_as_json=True)
[08-13 14:07:53|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:417:__init__] [robolab-policy-server] ready domain='droid_lerobot' resolution='480' action_space=joint_pos action_dim=8 chunk=32 history=1 use_state=True image=540x640 fps=15.0 guidance=3.0 num_steps=4 shift=5.0 seed=0 deterministic_seed=True
[08-13 14:07:53|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:630:serve] [robolab-policy-server] Server accessible at: ws://10.244.3.198:8000/
[08-13 14:07:53|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:631:serve] [robolab-policy-server] Health check: http://10.244.3.198:8000/healthz
[08-13 14:09:06|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:583:infer] [robolab-policy-server] prompt='{"cinematography": {"framing": "This video contains concatenated views from multiple camera perspectives. The top row is from the wrist-mounted camera. The bottom row contains two horizontally concatenated third-person perspective views of the scene from opposite sides, with the robot visible."}, "actions": [{"time": "0:00-0:02", "description": "Move the robot safely toward the target object."}], "duration": "2s", "fps": 15.0, "resolution": {"H": 544, "W": 736}, "aspect_ratio": "4,3"}' seed=0
[08-13 14:09:08|job=|INFO|cosmos_framework/model/generator/omni_mot_model.py:3155:generate_samples_from_batch] Using sampler: UniPC (shift=5.0, num_steps=4)
[08-13 14:12:01|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:583:infer] [robolab-policy-server] prompt='{"cinematography": {"framing": "This video contains concatenated views from multiple camera perspectives. The top row is from the wrist-mounted camera. The bottom row contains two horizontally concatenated third-person perspective views of the scene from opposite sides, with the robot visible."}, "actions": [{"time": "0:00-0:02", "description": "Move the robot safely toward the target object."}], "duration": "2s", "fps": 15.0, "resolution": {"H": 544, "W": 736}, "aspect_ratio": "4,3"}' seed=0
[08-13 14:12:01|job=|INFO|cosmos_framework/model/generator/omni_mot_model.py:3155:generate_samples_from_batch] Using sampler: UniPC (shift=5.0, num_steps=4)
[08-13 14:12:07|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:583:infer] [robolab-policy-server] prompt='{"cinematography": {"framing": "This video contains concatenated views from multiple camera perspectives. The top row is from the wrist-mounted camera. The bottom row contains two horizontally concatenated third-person perspective views of the scene from opposite sides, with the robot visible."}, "actions": [{"time": "0:00-0:02", "description": "Move the robot safely toward the target object."}], "duration": "2s", "fps": 15.0, "resolution": {"H": 544, "W": 736}, "aspect_ratio": "4,3"}' seed=0
[08-13 14:12:07|job=|INFO|cosmos_framework/model/generator/omni_mot_model.py:3155:generate_samples_from_batch] Using sampler: UniPC (shift=5.0, num_steps=4)
[08-13 14:12:13|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:583:infer] [robolab-policy-server] prompt='{"cinematography": {"framing": "This video contains concatenated views from multiple camera perspectives. The top row is from the wrist-mounted camera. The bottom row contains two horizontally concatenated third-person perspective views of the scene from opposite sides, with the robot visible."}, "actions": [{"time": "0:00-0:02", "description": "Move the robot safely toward the target object."}], "duration": "2s", "fps": 15.0, "resolution": {"H": 544, "W": 736}, "aspect_ratio": "4,3"}' seed=0
[08-13 14:12:13|job=|INFO|cosmos_framework/model/generator/omni_mot_model.py:3155:generate_samples_from_batch] Using sampler: UniPC (shift=5.0, num_steps=4)
[08-13 14:12:53|job=|INFO|cosmos_framework/scripts/action_policy_server_robolab.py:583:infer] [robolab-policy-server] prompt='{"cinematography": {"framing": "This video contains concatenated views from multiple camera perspectives. The top row is from the wrist-mounted camera. The bottom row contains two horizontally concatenated third-person perspective views of the scene from opposite sides, with the robot visible."}, "actions": [{"time": "0:00-0:02", "description": "Move the robot safely toward the target object."}], "duration": "2s", "fps": 15.0, "resolution": {"H": 544, "W": 736}, "aspect_ratio": "4,3"}' seed=0
[08-13 14:12:53|job=|INFO|cosmos_framework/model/generator/omni_mot_model.py:3155:generate_samples_from_batch] Using sampler: UniPC (shift=5.0, num_steps=4)
